relative_time,DecibelSource,PitchSensor
14808,,118.6474609375
14840,62.71687852964302,118.6474609375
14880,59.66864203227011,118.6474609375
14920,61.705516822737934,
14960,61.948636299848694,
14967,,616.3525390625
15000,55.92054392152867,616.3525390625
15040,48.13022106799298,616.3525390625
15080,49.86864679988574,616.3525390625
15120,49.123788894699764,
15160,49.20872525586574,
15173,,121.827392578125
15174,,121.827392578125
15200,45.58088336475821,121.827392578125
15240,44.73003757277303,121.827392578125
15254,,119.2373046875
15280,42.788838519059084,119.2373046875
15320,41.72032916485758,119.2373046875
15360,39.57581848724854,119.2373046875
15400,40.51321446516269,
15440,44.68204830537877,
15447,,125.05859375
15480,42.14707725475306,125.05859375
15520,39.79752471321521,125.05859375
15560,43.583698950413435,
15600,43.594812396557934,
15608,,116.4013671875
15640,40.22990571794759,116.4013671875
15680,42.49564720709621,116.4013671875
15720,47.15797351660718,116.4013671875
15780,52.49351382095647,
15820,53.426238325186546,
15829,,144.8468032648534
15860,52.078991728362176,144.8468032648534
15900,51.31643899350608,144.8468032648534
15913,,149.67947048611111
15940,48.411980704655775,149.67947048611111
15980,46.90308536501085,149.67947048611111
16020,47.82641209927256,149.67947048611111
16031,,152.15169270833331
16060,58.68050877675158,152.15169270833331
16100,56.06593776529308,152.15169270833331
16110,,164.03540426587304
16140,49.582958938028085,164.03540426587304
16180,47.964114081543386,164.03540426587304
16191,,168.90625
16220,55.488590688742796,168.90625
16260,62.05470583937281,168.90625
16267,,218.46761067708331
16300,61.429663882134406,218.46761067708331
16340,53.43672731914418,218.46761067708331
16380,53.63219381371425,218.46761067708331
16420,49.02772620395288,
16460,46.458364331211364,
16469,,164.0771484375
16470,,164.0771484375
16500,45.40320946995732,164.0771484375
16540,43.018584481346394,164.0771484375
16580,54.91315732113678,
16620,59.928146600619385,
16660,56.79708467635958,
16675,,141.0802052815755
16701,49.65977798604034,141.0802052815755
16740,44.36498613772315,141.0802052815755
16751,,134.57478841145831
16780,42.75982747724583,134.57478841145831
16820,46.598294061082164,134.57478841145831
16836,,129.90234375
16860,51.41928445725294,129.90234375
16900,45.2033685404518,129.90234375
16908,,138.0551020304362
16940,40.45749679490905,138.0551020304362
16980,59.84313033525752,138.0551020304362
17040,62.233629370925385,138.0551020304362
17048,,158.52490234375
17080,59.9923623389201,158.52490234375
17120,57.76503709895238,158.52490234375
17127,,157.80429699956153
17160,57.231708294453114,157.80429699956153
17200,50.27078293797466,157.80429699956153
17208,,140.09602864583334
